COUNTY,fips,BIDEN VOTES,BIDEN PCT,TRUMP VOTES,TRUMP PCT,PERDUE VOTES,PERDUE PCT,OSSOFF VOTES,OSSOFF PCT,WARNOCK VOTES,WARNOCK PCT,LOEFFLER VOTES,LOEFFLER PCT,OSSOFF VOTES 2,OSSOFF PCT 2,PERDUE VOTES 2,PERDUE PCT 2,WARNOCK VOTES 2,WARNOCK PCT 2,LOEFFLER VOTES 2,LOEFFLER PCT 2,TOTAL VOTERS
DeKalb County,13089,"308,112",83.1,"58,361",15.7,"61,850",16.8,"298,373",81.2,"226,422",61.7,"34,424",9.4,"287,260",83.4,"57,203",16.6,"289,472",84,"55,034",16,547802
Dodge County,13091,"2,171",26.9,"5,843",72.4,"5,793",72.8,"2,021",25.4,"1,421",18,"2,897",36.7,"2,010",28,"5,161",72,"2,020",28.1,"5,156",71.9,11464
Dooly County,13093,"1,911",46.6,"2,159",52.6,"2,158",53.2,"1,826",45,"1,188",29.7,"1,041",26,"1,802",48.2,"1,938",51.8,"1,812",48.4,"1,932",51.6,5966
Dougherty County,13095,"24,579",69.6,"10,449",29.6,"10,583",30.3,"23,822",68.2,"17,215",49.4,"5,618",16.1,"22,745",70.9,"9,346",29.1,"22,793",71,"9,320",29,61402
Douglas County,13097,"42,653",62,"25,323",36.8,"24,878",36.5,"41,641",61.1,"29,375",43.1,"13,950",20.5,"40,304",64.7,"21,949",35.3,"40,535",65.1,"21,723",34.9,101613
Early County,13099,"2,437",47,"2,722",52.5,"2,796",54.8,"2,232",43.7,"1,005",20.2,"1,133",22.8,"2,182",48,"2,368",52,"2,172",47.7,"2,377",52.3,7340
Echols County,13101,167,11.6,"1,256",87.2,"1,232",86.9,162,11.4,,,,,130,11,"1,057",89,128,10.8,"1,058",89.2,2170
Effingham County,13103,"7,720",24.5,"23,358",74,"22,832",73,"7,627",24.4,"4,943",16,"12,742",41.1,"7,137",25.7,"20,671",74.3,"7,127",25.6,"20,673",74.4,44372
Elbert County,13105,"2,879",31.4,"6,226",67.9,"6,225",68.6,"2,717",29.9,"1,237",13.8,"1,526",17,"2,469",31.1,"5,481",68.9,"2,455",30.9,"5,493",69.1,12330
Emanuel County,13107,"2,884",30.4,"6,551",69,"6,513",69.5,"2,720",29,"1,692",18.4,"3,061",33.3,"2,547",30.5,"5,807",69.5,"2,569",30.7,"5,787",69.3,13844
Evans County,13109,"1,324",31.2,"2,888",68,"2,876",68.6,"1,251",29.8,791,19.1,"1,503",36.2,"1,198",32.1,"2,539",67.9,"1,201",32.1,"2,539",67.9,6148
Fannin County,13111,"2,571",17.3,"12,169",81.9,"11,972",81.5,"2,415",16.4,"1,694",11.6,"3,877",26.6,"2,377",17.7,"11,052",82.3,"2,435",18.1,"10,986",81.9,20399
Fayette County,13113,"31,933",46.1,"36,372",52.5,"36,850",53.6,"30,362",44.2,"22,126",32.4,"20,872",30.6,"30,938",45.9,"36,463",54.1,"31,297",46.4,"36,094",53.6,92427
Floyd County,13115,"10,972",28.4,"27,120",70.3,"26,726",69.9,"10,484",27.4,"7,420",19.6,"14,403",38,"10,455",29.7,"24,732",70.3,"10,611",30.1,"24,587",69.9,60749
Forsyth County,13117,"42,203",32.6,"85,122",65.8,"85,652",66.8,"39,229",30.6,"23,895",18.8,"44,383",34.9,"36,848",32,"78,168",68,"37,602",32.7,"77,354",67.3,164279
Franklin County,13119,"1,593",14.8,"9,069",84.2,"8,993",84.5,"1,465",13.8,613,5.8,"2,258",21.3,"1,345",14.6,"7,849",85.4,"1,345",14.6,"7,840",85.4,15170
Fulton County,13121,"381,057",72.6,"137,200",26.2,"146,425",28.1,"363,183",69.8,"263,323",50.9,"83,515",16.1,"350,145",71.7,"137,930",28.3,"354,349",72.6,"133,710",27.4,808742
Gilmer County,13123,"2,932",17.7,"13,429",81.3,"13,206",81,"2,715",16.6,"1,897",11.7,"4,908",30.3,"2,637",17.8,"12,142",82.2,"2,669",18.1,"12,112",81.9,22315
Glascock County,13125,155,9.9,"1,403",89.6,"1,366",88.7,150,9.7,84,5.6,819,54.6,134,9.8,"1,230",90.2,130,9.5,"1,234",90.5,2040
Glynn County,13127,"15,879",37.8,"25,616",61,"25,560",61.6,"14,938",36,"7,272",17.8,"11,810",29,"13,948",37.3,"23,435",62.7,"13,952",37.3,"23,407",62.7,61947
Gordon County,13129,"4,384",18.2,"19,405",80.7,"19,011",80,"4,182",17.6,"2,619",11.2,"9,539",40.6,"3,875",19.1,"16,462",80.9,"3,924",19.3,"16,415",80.7,36431
Grady County,13131,"3,619",33.8,"7,034",65.7,"6,969",65.9,"3,465",32.8,"1,406",13.5,"2,719",26.1,"3,099",33.2,"6,229",66.8,"3,102",33.3,"6,226",66.7,15441
Greene County,13133,"4,088",36.3,"7,068",62.8,"7,247",64.9,"3,763",33.7,"2,572",23.1,"3,349",30.1,"3,699",34.9,"6,915",65.1,"3,754",35.4,"6,853",64.6,14197
Gwinnett County,13135,"241,827",58.4,"166,413",40.2,"166,754",40.6,"233,551",56.8,"142,968",35.5,"88,613",22,"221,826",60.1,"147,344",39.9,"223,677",60.6,"145,379",39.4,582917
Habersham County,13137,"3,563",17.4,"16,637",81.4,"16,385",80.9,"3,340",16.5,"2,133",10.6,"5,371",26.7,"3,149",17.5,"14,837",82.5,"3,232",18,"14,742",82,28318
Hall County,13139,"25,002",27.6,"64,105",70.9,"63,775",71.1,"23,461",26.2,"14,879",16.6,"21,957",24.6,"21,723",27.6,"56,922",72.4,"22,132",28.2,"56,488",71.8,128535
Hancock County,13141,"2,985",71.7,"1,159",27.8,"1,173",28.6,"2,858",69.8,"2,129",52.1,608,14.9,"2,769",72.3,"1,061",27.7,"2,774",72.4,"1,058",27.6,5835
Haralson County,13143,"1,792",12.6,"12,331",86.5,"12,016",85.1,"1,764",12.5,"1,200",8.6,"6,533",46.8,"1,610",13.2,"10,550",86.8,"1,626",13.4,"10,530",86.6,20692
Harris County,13145,"5,457",27.3,"14,319",71.6,"14,279",71.9,"5,192",26.2,"3,776",19.1,"7,090",35.9,"4,983",27.3,"13,291",72.7,"5,031",27.5,"13,252",72.5,25690
Hart County,13147,"3,157",24.8,"9,464",74.4,"9,377",74.8,"2,937",23.4,"1,302",10.5,"2,080",16.8,"2,869",25.6,"8,336",74.4,"2,847",25.4,"8,354",74.6,16942
Heard County,13149,824,15.3,"4,516",83.8,"4,413",82.8,802,15.1,592,11.3,"2,542",48.4,780,16.7,"3,895",83.3,801,17.1,"3,877",82.9,7772
Henry County,13151,"73,276",59.7,"48,187",39.3,"47,486",39,"71,592",58.8,"49,407",40.7,"26,824",22.1,"68,235",62.4,"41,145",37.6,"68,576",62.7,"40,824",37.3,172241
Houston County,13153,"32,232",43.1,"41,534",55.5,"41,428",55.9,"30,955",41.7,"21,945",29.7,"22,327",30.2,"29,545",44.6,"36,730",55.4,"29,684",44.8,"36,597",55.2,105587
Irwin County,13155,"1,008",24.2,"3,134",75.2,"3,095",74.7,982,23.7,606,14.8,"1,459",35.6,877,24.3,"2,739",75.7,885,24.5,"2,732",75.5,6124
Jackson County,13157,"7,642",20.3,"29,497",78.3,"29,166",78,"7,262",19.4,"4,783",12.9,"12,593",33.9,"6,785",20.8,"25,793",79.2,"6,925",21.3,"25,658",78.7,52010
Jasper County,13159,"1,761",23,"5,822",76.2,"5,751",75.8,"1,690",22.3,"1,218",16.2,"3,246",43.1,"1,654",24.3,"5,146",75.7,"1,683",24.7,"5,120",75.3,10434
Jeff Davis County,13161,"1,028",17.8,"4,695",81.4,"4,574",80.3,"1,013",17.8,590,10.5,"1,719",30.7,947,18.6,"4,138",81.4,937,18.4,"4,142",81.6,8495
Jefferson County,13163,"4,061",53.1,"3,537",46.3,"3,539",46.8,"3,913",51.8,"2,487",33.3,"1,847",24.8,"3,752",54.2,"3,174",45.8,"3,767",54.4,"3,159",45.6,11350
Jenkins County,13165,"1,266",36.6,"2,161",62.5,"2,155",63.4,"1,194",35.1,806,23.9,"1,104",32.8,"1,169",37.7,"1,935",62.3,"1,165",37.6,"1,936",62.4,5075
Johnson County,13167,"1,222",29.8,"2,850",69.5,"2,801",69.4,"1,158",28.7,763,19.3,"1,376",34.7,"1,044",29.2,"2,529",70.8,"1,047",29.3,"2,529",70.7,5610
Jones County,13169,"4,888",32.7,"9,965",66.6,"9,854",66.4,"4,687",31.6,"3,496",23.7,"5,397",36.6,"4,517",33.9,"8,815",66.1,"4,534",34,"8,803",66,20406
Lamar County,13171,"2,615",28.9,"6,330",70,"6,280",69.9,"2,511",27.9,"1,994",22.3,"3,243",36.3,"2,376",29.9,"5,559",70.1,"2,408",30.3,"5,530",69.7,12872
Lanier County,13173,"1,019",28.5,"2,509",70.2,"2,481",70.5,944,26.8,365,10.6,"1,191",34.7,905,29.8,"2,127",70.2,910,30,"2,126",70,5496
Laurens County,13175,"8,073",35.5,"14,493",63.8,"14,363",63.9,"7,698",34.3,"5,334",23.9,"6,592",29.5,"7,368",36.5,"12,841",63.5,"7,415",36.7,"12,792",63.3,32874
Lee County,13177,"4,558",27.3,"12,007",71.8,"11,862",71.6,"4,424",26.7,"2,970",18,"6,365",38.7,"4,224",28.4,"10,657",71.6,"4,239",28.5,"10,649",71.5,22930
Liberty County,13179,"13,051",61.2,"7,944",37.3,"7,728",36.7,"12,695",60.4,"7,713",36.9,"3,755",18,"11,813",64.6,"6,482",35.4,"11,858",64.8,"6,454",35.2,35970
Lincoln County,13181,"1,435",30.9,"3,179",68.4,"3,139",68.3,"1,371",29.8,803,17.6,"1,725",37.8,"1,309",31.1,"2,905",68.9,"1,315",31.2,"2,902",68.8,6182
Long County,13183,"2,033",35.9,"3,528",62.4,"3,389",60.7,"2,029",36.4,"1,233",22.3,"1,708",30.9,"1,791",38.7,"2,834",61.3,"1,799",38.9,"2,831",61.1,9683
Lowndes County,13185,"20,117",43.4,"25,691",55.4,"25,620",56,"19,124",41.8,"7,931",17.6,"12,607",27.9,"17,369",43.6,"22,464",56.4,"17,382",43.6,"22,455",56.4,75535
Lumpkin County,13187,"3,126",20.1,"12,163",78.3,"11,941",77.7,"2,926",19,"2,042",13.3,"4,366",28.5,"2,819",20.6,"10,875",79.4,"2,867",20.9,"10,829",79.1,22412
Macon County,13189,"2,857",61.3,"1,783",38.2,"1,787",38.9,"2,727",59.4,"1,987",43.6,823,18.1,"2,664",62.5,"1,599",37.5,"2,685",62.8,"1,591",37.2,7079
Madison County,13191,"3,411",22.8,"11,326",75.8,"11,136",75.3,"3,303",22.3,"2,284",15.6,"4,808",32.8,"3,058",23.2,"10,108",76.8,"3,086",23.4,"10,084",76.6,20737
Marion County,13193,"1,311",36.2,"2,275",62.8,"2,248",62.5,"1,267",35.2,849,23.9,"1,078",30.4,"1,217",37.9,"1,998",62.1,"1,217",37.9,"1,994",62.1,4922
McDuffie County,13195,"4,168",39.9,"6,169",59,"6,198",59.8,"3,968",38.3,"2,387",23.2,"3,503",34,"3,733",40.4,"5,502",59.6,"3,752",40.6,"5,480",59.4,15083
McIntosh County,13197,"2,612",39,"4,016",60,"3,967",60.1,"2,498",37.8,"1,545",23.8,"2,117",32.6,"2,399",40.4,"3,539",59.6,"2,417",40.6,"3,531",59.4,9320
Meriwether County,13199,"4,287",39.4,"6,524",60,"6,432",59.8,"4,135",38.4,"3,018",28.2,"3,255",30.4,"4,008",40.7,"5,831",59.3,"4,032",41,"5,806",59,15336
Miller County,13201,749,26.4,"2,066",72.9,"2,047",73.6,687,24.7,271,10.3,881,33.3,650,26.5,"1,800",73.5,651,26.5,"1,803",73.5,3920
Mitchell County,13205,"3,995",44.6,"4,935",55.1,"4,921",55.5,"3,832",43.2,"2,598",29.5,"2,090",23.7,"3,540",45.1,"4,304",54.9,"3,563",45.3,"4,295",54.7,13481
Monroe County,13207,"4,384",28.1,"11,060",70.9,"10,929",70.8,"4,205",27.3,"3,197",20.8,"6,077",39.6,"4,025",28.5,"10,082",71.5,"4,056",28.7,"10,055",71.3,21151
Montgomery County,13209,979,24.7,"2,960",74.6,"2,927",74.7,931,23.8,582,15.2,"1,332",34.7,884,25.1,"2,635",74.9,896,25.4,"2,630",74.6,5467
Morgan County,13211,"3,355",28.7,"8,230",70.3,"8,259",71,"3,151",27.1,"2,392",20.7,"4,360",37.7,"3,097",28.6,"7,730",71.4,"3,129",28.9,"7,696",71.1,14843
