COUNTY NAME,AI MALE VOTERS,AI FEMALE VOTERS,AI UNKNOWN VOTERS,AP MALE VOTERS,AP FEMALE VOTERS,AP UNKNOWN VOTERS,BH MALE VOTERS,BH FEMALE VOTERS,BH UNKNOWN VOTERS,HP MALE VOTERS,HP FEMALE VOTERS,HP UNKNOWN VOTERS,WH MALE VOTERS,WH FEMALE VOTERS,WH UNKNOWN VOTERS,OT MALE VOTERS,OT FEMALE VOTERS,OT UNKNOWN VOTERS,UK MALE VOTERS,UK FEMALE VOTERS,UK UNKNOWN VOTERS,TOTAL VOTERS,PER CAPITA INCOME,MEDIAN HOUSEHOLD INCOME,MEDIAN FAMILY INCOME,POVERTY RATE
TALIAFERRO,0,0,0,0,1,0,347,334,0,7,3,0,251,247,0,5,4,0,27,19,1,1246,13955,22188,29375,24.6
TATTNALL,9,6,0,19,27,0,1000,1304,6,164,226,1,3868,4342,11,54,50,0,608,513,8,12216,16742,38522,45601,25.6
TAYLOR,1,2,0,9,5,0,796,1065,3,18,28,0,1522,1607,5,12,12,0,171,148,1,5405,14693,25237,35819,22.9
TELFAIR,7,5,0,12,7,0,837,1095,3,19,23,1,1766,1932,3,19,18,0,167,155,7,6076,13420,23876,36109,31.9
TERRELL,4,4,0,14,7,0,1578,2057,6,13,20,0,1241,1263,4,25,21,0,187,180,1,6625,15553,27909,35663,27.8
THOMAS,28,29,0,91,97,0,3941,5667,8,121,174,0,8356,9562,24,113,122,0,933,945,7,30218,21261,35797,46333,20.2
TIFT,10,13,0,113,112,1,2811,3964,18,480,504,4,7015,8166,20,102,128,1,538,532,19,24551,18394,36847,45376,19.6
TOOMBS,7,5,0,40,41,0,1490,2159,4,219,269,1,4839,5675,15,61,107,0,696,594,5,16227,17974,31635,44266,24.9
TOWNS,6,3,0,15,18,0,16,21,0,34,59,1,4429,4987,7,43,42,0,261,247,0,10189,21527,39540,48020,16
TREUTLEN,1,2,0,2,5,0,509,715,0,11,8,0,1362,1420,2,4,9,0,104,92,2,4248,16710,36467,48110,26.3
TROUP,24,25,0,189,184,0,5690,8131,14,208,234,4,11846,13648,28,196,234,5,1319,1164,26,43169,19699,41770,50625,20.2
TURNER,5,5,0,11,16,0,876,1190,1,35,34,0,1508,1668,2,18,13,0,120,100,2,5604,15973,30763,40446,27.9
TWIGGS,8,5,0,4,12,0,1210,1368,1,18,29,0,1583,1653,2,30,27,0,190,165,3,6308,15904,26521,31324,21.3
UNION,15,6,0,33,46,0,25,18,1,77,107,0,8319,9227,13,84,96,0,601,560,7,19235,24182,41298,50772,13.8
UPSON,14,7,0,30,36,0,1966,2739,9,44,56,0,5554,6273,10,65,79,0,697,600,8,18187,17398,34509,42737,21.6
